time,topic_count,topic_len
1921,100,2
1213,100,2
1139,100,2
1190,100,2
1183,100,2
1268,100,2
1220,100,2
1126,100,2
1219,100,2
1161,100,2
1136,100,2
1279,100,2
1097,100,2
1258,100,2
1247,100,2
1230,100,2
1133,100,2
1202,100,2
1196,100,2
1074,100,2
1268,100,4
1258,100,4
1190,100,4
1252,100,4
1255,100,4
1232,100,4
1317,100,4
1252,100,4
1364,100,4
1318,100,4
1361,100,4
1313,100,4
1495,100,4
1237,100,4
1254,100,4
1146,100,4
1238,100,4
1176,100,4
1173,100,4
1024,100,4
1245,100,8
1249,100,8
1272,100,8
1494,100,8
1338,100,8
1178,100,8
1227,100,8
1286,100,8
1234,100,8
1480,100,8
1352,100,8
1303,100,8
1123,100,8
1191,100,8
1239,100,8
1324,100,8
1226,100,8
1135,100,8
1308,100,8
1221,100,8
1156,100,16
1516,100,16
1462,100,16
1447,100,16
1396,100,16
1397,100,16
1568,100,16
1465,100,16
1451,100,16
1425,100,16
1469,100,16
1461,100,16
1357,100,16
1591,100,16
1369,100,16
1399,100,16
1392,100,16
1331,100,16
1437,100,16
1328,100,16
1569,100,32
1615,100,32
2335,100,32
1724,100,32
1640,100,32
1632,100,32
1655,100,32
1765,100,32
1818,100,32
1610,100,32
1560,100,32
1602,100,32
1670,100,32
1654,100,32
1544,100,32
1707,100,32
1575,100,32
1625,100,32
1452,100,32
1555,100,32
2182,100,64
1904,100,64
2351,100,64
2162,100,64
2173,100,64
2319,100,64
2146,100,64
2285,100,64
2176,100,64
2021,100,64
2180,100,64
1975,100,64
2332,100,64
2031,100,64
1893,100,64
2149,100,64
2241,100,64
2101,100,64
2008,100,64
2237,100,64
3278,100,128
2707,100,128
2783,100,128
2774,100,128
2737,100,128
2890,100,128
2905,100,128
2776,100,128
3076,100,128
2837,100,128
2814,100,128
2982,100,128
3074,100,128
2710,100,128
2773,100,128
2690,100,128
2946,100,128
2821,100,128
2784,100,128
3047,100,128
4187,100,256
4308,100,256
4238,100,256
4327,100,256
4415,100,256
4500,100,256
4471,100,256
4607,100,256
4407,100,256
4583,100,256
4521,100,256
4304,100,256
4224,100,256
4268,100,256
4340,100,256
4344,100,256
4321,100,256
4195,100,256
4284,100,256
4201,100,256
7345,100,512
7459,100,512
7169,100,512
7269,100,512
7424,100,512
7409,100,512
7202,100,512
7259,100,512
7622,100,512
7322,100,512
7558,100,512
7331,100,512
7647,100,512
7128,100,512
7039,100,512
7072,100,512
7227,100,512
7169,100,512
8221,100,512
7603,100,512
15372,100,1024
15168,100,1024
14894,100,1024
15603,100,1024
15014,100,1024
14661,100,1024
14740,100,1024
14539,100,1024
14615,100,1024
14384,100,1024
14547,100,1024
14382,100,1024
14770,100,1024
14434,100,1024
14760,100,1024
14761,100,1024
14489,100,1024
14620,100,1024
14851,100,1024
14615,100,1024
26831,100,2048
26180,100,2048
25786,100,2048
25978,100,2048
26681,100,2048
26771,100,2048
25563,100,2048
25910,100,2048
25576,100,2048
25464,100,2048
25385,100,2048
25367,100,2048
25258,100,2048
25365,100,2048
25901,100,2048
25955,100,2048
25486,100,2048
25430,100,2048
25355,100,2048
25341,100,2048
